"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-07","13.65",,"0.01","0.0","0.0","76","86","70","   10","   10","21.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-08","6.26",,"0.00","0.0","0.0","77","82","70","  180","  160","14.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-09","8.50",,"0.00","0.0","0.0","83","91","77","  230","  230","16.1","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-10","11.86",,"0.00","0.0","0.0","80","86","75","  180","  170","25.1","32.0",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-11","14.99",,"0.00","0.0","0.0","79","85","68","  320","  320","25.9","34.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-12","9.62",,"0.00","0.0","0.0","70","77","60","  160","  170","14.1","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-13","10.96",,"0.00","0.0","0.0","70","78","63","  180","  150","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-14","11.86",,"0.43","0.0","0.0","74","83","68","  320","  330","30.0","38.0","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-15","9.40",,"0.00","0.0","0.0","69","75","62","   20","  360","17.0","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-16","7.61",,"0.00","0.0","0.0","66","74","56","  150","  140","16.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-17","8.50",,"0.00","0.0","0.0","66","75","56","  190","  180","18.1","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-18","10.74",,"0.00","0.0","0.0","74","80","69","  180","  180","19.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-19","5.37",,"0.97","0.0","0.0","73","74","70","  130","  130","18.1","23.0","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-20","4.92",,"0.00","0.0","0.0","73","82","69","  360","  270","13.0","17.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-21","4.47",,"0.00","0.0","0.0","73","85","65","   10","  360","16.1","21.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-22","6.26",,"0.00","0.0","0.0","73","83","62","  150","  120","14.1","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-23","6.04",,"0.00","0.0","0.0","71","79","61","   10","  360","21.0","23.9","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-24","9.84",,"0.29","0.0","0.0","67","72","58","   30","   30","21.9","28.0","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-25","6.26",,"0.00","0.0","0.0","62","70","53","  360","  330","16.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-26","11.41",,"0.00","0.0","0.0","62","72","51","  190","  190","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-27","9.62",,"0.18","0.0","0.0","70","75","61","  200","  200","21.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-28","13.42",,"0.00","0.0","0.0","65","70","59","   40","   60","23.0","29.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-29","16.78",,"0.02","0.0","0.0","62","64","59","   50","   30","29.1","38.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-09-30","18.12",,"0.31","0.0","0.0","61","62","59","   50","   60","25.9","36.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-01","13.42",,"0.01","0.0","0.0","60","63","58","   40","   30","18.1","23.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-02","4.70",,"0.00","0.0","0.0","61","65","58","   40","   40","12.1","13.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-03","5.14",,"0.00","0.0","0.0","65","73","61","  200","  180","10.1","13.0","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-04","10.07",,"0.00","0.0","0.0","65","70","57","   30","   50","18.1","21.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-05","6.71",,"0.00","0.0","0.0","60","69","51","   40","   40","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-06","5.14",,"0.00","0.0","0.0","60","71","52","  200","  200","12.1","14.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-07","5.82",,"0.00","0.0","0.0","61","73","52","  120","  130","14.1","17.0","    1","    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-08","5.14",,"0.49","0.0","0.0","62","71","55","  140","  150","12.1","13.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-09","19.24",,"0.84","0.0","0.0","60","66","53","  360","   10","30.0","40.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-10","14.09",,"0.00","0.0","0.0","55","64","47","  350","  350","29.1","38.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-11","6.49",,"0.00","0.0","0.0","54","63","45","  150","  220","12.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-12","5.82",,"0.00","0.0","0.0","57","66","49","  140","  140","12.1","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-13","8.95",,"0.01","0.0","0.0","59","70","50","  340","  330","19.9","25.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-14","8.50",,"0.00","0.0","0.0","56","63","47","  360","   10","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-15","7.16",,"0.00","0.0","0.0","54","64","45","  200","  150","13.0","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-16","10.51",,"0.00","0.0","0.0","60","69","51","  240","  230","15.0","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-10-17","7.83",,"0.00","0.0","0.0","67","75","61","  190","  190","14.1","17.0",,,,,,,
